bund_nr,status,pk_dist,pk_azi
140001,-9,-9,-9
140002,-9,-9,-9
140003,-9,-9,-9
140004,-9,-9,-9
140005,-9,-9,-9
140006,-9,-9,-9
140007,-9,-9,-9
140008,-9,-9,-9
140009,-9,-9,-9
140010,-9,-9,-9
140011,-9,-9,-9
140012,-9,-9,-9
140013,-9,-9,-9
140014,-9,-9,-9
140015,-9,-9,-9
140016,-9,-9,-9
140017,-9,-9,-9
140018,-9,-9,-9
140019,-9,-9,-9
140020,-9,-9,-9
140021,-9,-9,-9
140022,-9,-9,-9
140023,-9,-9,-9
140024,-9,-9,-9
140025,-9,-9,-9
140026,-9,-9,-9
140027,-9,-9,-9
140028,-9,-9,-9
140029,-9,-9,-9
140030,-9,-9,-9
140031,-9,-9,-9
140032,-9,-9,-9
140033,-9,-9,-9
140034,-9,-9,-9
140035,-9,-9,-9
140036,-9,-9,-9
140037,4,-9,-9
140038,1,-9,-9
140039,1,-9,-9
140040,1,-9,-9
140041,1,-9,-9
140042,1,-9,-9
140043,1,-9,-9
140044,1,-9,-9
140045,1,-9,-9
140046,4,-9,-9
140047,4,-9,-9
140048,1,-9,-9
140049,4,-9,-9
140050,5,-9,-9
140051,1,-9,-9
140052,1,-9,-9
140053,1,-9,-9
140054,1,-9,-9
140055,4,-9,-9
140056,1,-9,-9
140057,1,-9,-9
140058,4,-9,-9
140059,1,-9,-9
140060,4,-9,-9
140061,1,-9,-9
140062,1,-9,-9
140063,1,-9,-9
140064,1,-9,-9
140065,1,-9,-9
140066,-9,-9,-9
140067,4,-9,-9
140068,1,-9,-9
140089,-9,-9,-9
140102,-9,-9,-9
140175,-9,-9,-9
140187,1,-9,-9
140234,-9,-9,-9
140252,1,-9,-9
140254,1,-9,-9
140315,1,-9,-9
140316,1,-9,-9
140317,-9,-9,-9
