bund_nr,pk_nr,pk_aufnahme,pk_richtung,pk_dist
140001,1,-9,n,1000
140001,2,-9,o,1000
140001,3,-9,s,1000
140001,4,-9,w,1000
140002,1,-9,n,1000
140002,2,-9,o,1000
140002,3,-9,s,1000
140002,4,-9,w,1000
140003,1,-9,n,1000
140003,2,-9,o,1000
140003,3,-9,s,1000
140003,4,-9,w,1000
140004,1,-9,n,1000
140004,2,-9,o,1000
140004,3,-9,s,1000
140004,4,-9,w,1000
140005,1,-9,n,1000
140005,2,-9,o,1000
140005,3,-9,s,1000
140005,4,-9,w,1000
140006,1,-9,n,1000
140006,2,-9,o,1000
140006,3,-9,s,1000
140006,4,-9,w,1000
140007,1,-9,n,1000
140007,2,-9,o,1000
140007,3,-9,s,1000
140007,4,-9,w,1000
140008,1,-9,n,1000
140008,2,-9,o,1000
140008,3,-9,s,1000
140008,4,-9,w,1000
140009,1,-9,n,1000
140009,2,-9,o,1000
140009,3,-9,s,1000
140009,4,-9,w,1000
140010,1,-9,n,1000
140010,2,-9,o,1000
140010,3,-9,s,1000
140010,4,-9,w,500
140011,1,-9,n,1000
140011,2,-9,o,1000
140011,3,-9,s,1000
140011,4,-9,w,1000
140012,1,-9,n,1000
140012,2,-9,o,1000
140012,3,-9,s,1000
140012,4,-9,w,1000
140013,1,-9,n,1000
140013,2,-9,o,1000
140013,3,-9,s,1000
140013,4,-9,w,1000
140014,1,-9,n,1000
140014,2,-9,o,1000
140014,3,-9,s,1000
140014,4,-9,w,1000
140015,1,-9,n,1000
140015,2,-9,o,1000
140015,3,-9,s,1000
140015,4,-9,w,1000
140016,1,-9,n,1000
140016,2,-9,o,1000
140016,3,-9,s,1000
140016,4,-9,w,1000
140017,1,-9,n,1000
140017,2,-9,o,1000
140017,3,-9,s,1000
140017,4,-9,w,1000
140018,1,-9,n,1000
140018,2,-9,o,1000
140018,3,-9,s,1000
140018,4,-9,w,1000
140019,1,-9,n,1000
140019,2,-9,o,1000
140019,3,-9,s,1000
140019,4,-9,w,1000
140020,1,-9,n,1000
140020,2,-9,o,1000
140020,3,-9,s,1000
140020,4,-9,w,1000
140021,1,-9,n,1000
140021,2,-9,o,1000
140021,3,-9,s,1000
140021,4,-9,w,1000
140022,1,-9,n,1000
140022,2,-9,o,1000
140022,3,-9,s,1000
140022,4,-9,w,1000
140023,1,-9,n,1000
140023,2,-9,o,1000
140023,3,-9,s,1000
140023,4,-9,w,1000
140024,1,-9,n,1000
140024,2,-9,o,1000
140024,3,-9,s,1000
140024,4,-9,w,1000
140025,1,-9,n,1000
140025,2,-9,o,1000
140025,3,-9,s,1000
140025,4,-9,w,1000
140026,1,-9,n,1000
140026,2,-9,o,1000
140026,3,-9,s,1000
140026,4,-9,w,1000
140027,1,-9,n,1000
140027,2,-9,o,1000
140027,3,-9,s,1000
140027,4,-9,w,1000
140028,1,-9,n,1000
140028,2,-9,o,1000
140028,3,-9,s,1000
140028,4,-9,w,1000
140029,1,-9,n,1000
140029,2,-9,o,1000
140029,3,-9,s,1000
140029,4,-9,w,1000
140030,1,-9,n,1000
140030,2,-9,o,1000
140030,3,-9,s,130
140030,4,-9,w,1000
140031,1,-9,n,1000
140031,2,-9,o,1000
140031,3,-9,s,1000
140031,4,-9,w,1000
140032,1,-9,n,1000
140032,2,-9,o,1000
140032,3,-9,s,1000
140032,4,-9,w,1000
140033,1,-9,n,1000
140033,2,-9,o,1000
140033,3,-9,s,1000
140033,4,-9,w,1000
140034,1,-9,n,1000
140034,2,-9,o,1000
140034,3,-9,s,1000
140034,4,-9,w,1000
140035,1,-9,n,1000
140035,2,-9,o,1000
140035,3,-9,s,1000
140035,4,-9,w,1000
140036,1,-9,n,1000
140036,2,-9,o,1000
140036,3,-9,s,1000
140036,4,-9,w,1000
140037,1,-9,n,1000
140037,2,-9,o,1000
140037,3,-9,s,1000
140037,4,-9,w,1000
140038,1,-9,n,1000
140038,2,-9,o,1000
140038,3,-9,s,1000
140038,4,-9,w,1000
140039,1,-9,n,1000
140039,2,-9,o,1000
140039,3,-9,s,1000
140039,4,-9,w,1000
140040,1,-9,n,1000
140040,2,-9,o,1000
140040,3,-9,s,1000
140040,4,-9,w,1000
140041,1,-9,n,1000
140041,2,-9,o,1000
140041,3,-9,s,1000
140041,4,-9,w,1000
140042,1,-9,n,1000
140042,2,-9,o,1000
140042,3,-9,s,1000
140042,4,-9,w,1000
140043,1,-9,n,1000
140043,2,-9,o,1000
140043,3,-9,s,1000
140043,4,-9,w,1000
140044,1,-9,n,1000
140044,2,-9,o,1000
140044,3,-9,s,1000
140044,4,-9,w,1000
140045,1,-9,n,1000
140045,2,-9,o,1000
140045,3,-9,s,1000
140045,4,-9,w,1000
140046,1,-9,n,1000
140046,2,-9,o,1000
140046,3,-9,s,1000
140046,4,-9,w,1000
140047,1,-9,n,1000
140047,2,-9,o,1000
140047,3,-9,s,1000
140047,4,-9,w,1000
140048,1,-9,n,1000
140048,2,-9,o,1000
140048,3,-9,s,1000
140048,4,-9,w,1000
140049,1,-9,n,1000
140049,2,-9,o,1000
140049,3,-9,s,1000
140049,4,-9,w,1000
140050,1,-9,n,1000
140050,2,-9,o,1000
140050,3,-9,s,1000
140050,4,-9,w,1000
140051,1,-9,n,1000
140051,2,-9,o,1000
140051,3,-9,s,1000
140051,4,-9,w,1000
140052,1,-9,n,1000
140052,2,-9,o,1000
140052,3,-9,s,1000
140052,4,-9,w,1000
140053,1,-9,n,1000
140053,2,-9,o,1000
140053,3,-9,s,1000
140053,4,-9,w,1000
140054,1,-9,n,1000
140054,2,-9,o,1000
140054,3,-9,s,1000
140054,4,-9,w,1000
140055,1,-9,n,1000
140055,2,-9,o,1000
140055,3,-9,s,1000
140055,4,-9,w,1000
140056,1,-9,n,1000
140056,2,-9,o,1000
140056,3,-9,s,1000
140056,4,-9,w,500
140057,1,-9,n,1000
140057,2,-9,o,1000
140057,3,-9,s,1000
140057,4,-9,w,1000
140058,1,-9,n,1000
140058,2,-9,o,1000
140058,3,-9,s,1000
140058,4,-9,w,1000
140059,1,-9,n,1000
140059,2,-9,o,1000
140059,3,-9,s,1000
140059,4,-9,w,1000
140060,1,-9,n,1000
140060,2,-9,o,1000
140060,3,-9,s,1000
140060,4,-9,w,1000
140061,1,-9,n,1000
140061,2,-9,o,1000
140061,3,-9,s,1000
140061,4,-9,w,1000
140062,1,-9,n,1000
140062,2,-9,o,1000
140062,3,-9,s,1000
140062,4,-9,w,1000
140063,1,-9,n,1000
140063,2,-9,o,1000
140063,3,-9,s,1000
140063,4,-9,w,1000
140064,1,-9,n,1000
140064,2,-9,o,1000
140064,3,-9,s,1000
140064,4,-9,w,1000
140065,1,-9,n,1000
140065,2,-9,o,1000
140065,3,-9,s,1000
140065,4,-9,w,1000
140066,1,-9,n,1000
140066,2,-9,o,1000
140066,3,-9,s,1000
140066,4,-9,w,1000
140067,1,-9,n,1000
140067,2,-9,o,1000
140067,3,-9,s,1000
140067,4,-9,w,1000
140068,1,-9,n,1000
140068,2,-9,o,1000
140068,3,-9,s,1000
140068,4,-9,w,1000
140089,1,-9,n,1000
140089,2,-9,o,1000
140089,3,-9,s,1000
140089,4,-9,w,1000
140102,1,-9,n,1000
140102,2,-9,o,1000
140102,3,-9,s,1000
140102,4,-9,w,1000
140175,1,-9,n,1000
140175,2,-9,o,1000
140175,3,-9,s,1000
140175,4,-9,w,1000
140187,1,-9,n,1000
140187,2,-9,o,1000
140187,3,-9,s,1000
140187,4,-9,w,1000
140234,1,-9,n,1000
140234,2,-9,o,1000
140234,3,-9,s,1000
140234,4,-9,w,1000
140252,1,-9,n,1000
140252,2,-9,o,1000
140252,3,-9,s,1000
140252,4,-9,w,1000
140254,1,-9,n,1000
140254,2,-9,o,1000
140254,3,-9,sw,500
140254,4,-9,w,1000
140315,1,-9,n,1000
140315,2,-9,o,1000
140315,3,-9,s,1000
140315,4,-9,w,1000
140316,1,-9,n,1000
140316,2,-9,o,1000
140316,3,-9,s,1000
140316,4,-9,w,1000
