"plot_ID","tree_ID","tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Kraft","C_layer","H_dm","C_h_dm","D_mm","DBH_h_cm","inv_year","inv","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","BWI_comparisson_group","bark_type_SP_group","fruit_type_SP_group","DBH_cm","CCS_r_m","rem_reason","dist_m","X_tree","Y_tree","e_ID","e_type","e_form","stand","inter_stat","area_m2","stand_plot_A_ha","plot_A_ha","old_tree_inventory_status","old_tree_ID","DBH_class","H_m","H_method","BA_m2","compartiment","B_kg_tree","N_kg_tree","C_kg_tree"
140023,25,-9,0,1873,34,150,5,"rka",3,1,177,56,840,100,2011,"HBI",144,"RKa","Rosskastanie","Aesculus hippocastanum","Aesculus","hippocastanum","97.001.001","LB",221,30011,"KA","WAHR","Magnoliopsida trees",35,"bu","aLh","bu","BU","BU","aLB","ES","aLh","broadleaf species","broadleaf species","83,8684210526316","17,84","single LT excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140028,5,-9,0,1952,85,150,5,"ela",1,1,338,166,812,130,2011,"HBI",204,"ELa","Europaeische Laerche","Larix decidua","Larix","decidua","26.005.002","NB",116,30012,"ELA","WAHR","Larix decidua",10,"lae","ki","ki","KI","LA","aNB","FI","lae","Larix decidua","Larix decidua","81,2","17,84","single LT excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140045,1,-9,0,1905,14,200,5,"rbu",1,1,329,84,1346,130,2011,"HBI",111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","36.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU","bu","Fagus sylvatica","Fagus sylvatica","134,6","17,84","single LT excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140010,1,-9,0,175,317,28,1,"sbi",1,1,200,89,357,130,2012,"HBI",107,"SBi","Sand-Birke","Betula pendula","Betula","pendula","34.001.001","LB",10,30011,"BI","WAHR","Betula spp.",26,"bu","aLn","shw","BI","BI","BI","BI","aLn","Betula spp.","Betula spp.","35,7","17,84","LT cirlce excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140010,13,-9,0,1067,207,35,1,"gki",1,1,166,81,340,130,2012,"HBI",211,"GKi","Gewoehnliche Kiefer","Pinus sylvestris","Pinus","sylvestris","26.007.007","NB",134,30015,"KI","WAHR","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp.","34","17,84","LT cirlce excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140010,25,-9,0,670,362,35,1,"gki",1,1,139,36,362,130,2012,"HBI",211,"GKi","Gewoehnliche Kiefer","Pinus sylvestris","Pinus","sylvestris","26.007.007","NB",134,30015,"KI","WAHR","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp.","36,2","17,84","LT cirlce excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140013,11,-9,0,1255,365,57,1,"gki",1,1,221,122,336,150,2012,"HBI",211,"GKi","Gewoehnliche Kiefer","Pinus sylvestris","Pinus","sylvestris","26.007.007","NB",134,30015,"KI","WAHR","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp.","33,6877192982456","17,84","LT cirlce excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140013,17,-9,0,528,384,57,1,"gki",1,1,-9,-9,311,130,2012,"HBI",211,"GKi","Gewoehnliche Kiefer","Pinus sylvestris","Pinus","sylvestris","26.007.007","NB",134,30015,"KI","WAHR","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp.","31,1","17,84","LT cirlce excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140030,12,-9,0,1190,24,27,1,"gki",1,1,144,46,304,130,2011,"HBI",211,"GKi","Gewoehnliche Kiefer","Pinus sylvestris","Pinus","sylvestris","26.007.007","NB",134,30015,"KI","WAHR","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp.","30,4","17,84","LT cirlce excluded during inventory status sorting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140042,1,-9,0,1784,175,85,1,"gfi",2,1,-9,-9,439,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies","43,9","17,84","LT excluded during forest edges allocation","17,84","6,8270724334","-16,48201086",1,3,1,"warning",NA,NA,NA,"0,0999860870850348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
